,SME_offers,SME,Social_clause,G_clause,G_criterion,G_weight,Price_weight,Award_price,Legal_status,Departement,Procedure_type,CPV,Framework,Advertising,Id_contract,Allotment,Month,Contract_type,SME_ratio,Other_offers,SIREN,Participation
1009791,0.0,0,0,0,0,0.0,100.0,11.326595886778735,73,22,open,77100000,0,34.0,22-106176,1,2022_July,Services,0.0,1.0,252202122,0
1009792,0.0,0,0,0,0,0.0,100.0,9.42706335548747,73,22,open,77100000,0,34.0,22-106176,1,2022_July,Services,0.0,2.0,252202122,0
1009793,0.0,0,0,0,0,0.0,100.0,9.484937204879309,73,22,open,77100000,0,34.0,22-106176,1,2022_July,Services,0.0,2.0,252202122,0
803709,4.0,1,0,1,1,5.0,5.0,11.289781913656018,72,73,open,22113000,1,32.0,22-106337,1,2022_July,Supplies,0.8,1.0,217300656,1
803710,4.0,1,0,1,1,5.0,5.0,10.596634733096073,72,73,open,22113000,1,32.0,22-106337,1,2022_July,Supplies,0.8,1.0,217300656,1
803711,4.0,1,0,1,1,5.0,5.0,11.289781913656018,72,73,open,22113000,1,32.0,22-106337,1,2022_July,Supplies,0.8,1.0,217300656,1
803712,3.0,1,0,1,1,5.0,5.0,11.728036844587175,72,73,open,22113000,1,32.0,22-106337,1,2022_July,Supplies,0.75,1.0,217300656,1
803714,2.0,1,0,1,1,5.0,5.0,11.33857207782545,72,73,open,22113000,1,32.0,22-106337,1,2022_July,Supplies,0.6666666666666666,1.0,217300656,1
802555,0.0,0,0,1,0,0.0,50.0,12.388394202324129,73,73,open,72250000,1,33.0,22-106861,0,2022_August,Services,0.0,1.0,200023364,0
566072,0.0,0,0,0,0,0.0,40.0,10.779164601524986,72,44,open,77313000,0,31.0,22-10693,1,2022_January,Services,0.0,3.0,214401291,0
566071,0.0,0,0,0,0,0.0,40.0,10.693262226679666,72,44,open,77300000,0,31.0,22-10693,1,2022_January,Services,0.0,3.0,214401291,0
147858,0.0,0,1,1,1,3.0,40.0,17.909855120186375,73,59,negotiated,64200000,1,28.0,22-106999,0,2022_August,Services,0.0,4.0,200039386,0
1152294,3.0,1,0,0,0,0.0,55.0,9.893658404340044,72,32,open,39830000,1,35.0,22-107005,1,2022_August,Supplies,0.75,1.0,223200015,1
805441,1.0,0,0,1,1,10.0,50.0,13.214325996738728,73,73,open,90731800,1,36.0,22-107096,0,2022_August,Services,0.2,4.0,200023364,1
1035258,2.0,0,0,0,0,0.0,40.0,12.711079603647125,73,10,open,90511200,0,31.0,22-107137,0,2022_August,Services,0.5,2.0,241000488,1
321322,2.0,1,1,1,0,0.0,55.0,12.539964985649899,71,33,open,90911200,0,30.0,22-107205,1,2022_August,Services,0.4,3.0,130020324,1
321323,2.0,1,1,1,0,0.0,55.0,11.301013601438468,71,33,open,90911200,0,30.0,22-107205,1,2022_August,Services,0.3333333333333333,4.0,130020324,1
917369,0.0,0,0,0,0,0.0,45.0,13.324487561494463,72,85,open,90911200,1,29.0,22-107280,1,2022_August,Services,0.0,2.0,218501096,0
917370,0.0,0,0,0,0,0.0,45.0,12.26434155365415,72,85,open,90911300,1,29.0,22-107280,1,2022_August,Services,0.0,4.0,218501096,0
917371,0.0,0,0,0,0,0.0,45.0,13.892471599100402,72,85,open,90911200,1,29.0,22-107280,1,2022_August,Services,0.0,4.0,218501096,0
113220,6.0,0,0,0,1,10.0,45.0,11.407564949312402,72,59,open,39155000,1,39.0,22-107323,1,2022_August,Supplies,0.8571428571428571,1.0,215903501,1
113221,3.0,0,0,0,1,10.0,45.0,11.652687407345388,72,59,open,39155000,1,39.0,22-107323,1,2022_August,Supplies,0.6,2.0,215903501,1
682752,1.0,1,0,0,0,0.0,60.0,10.308952660644293,73,45,open,60112000,0,29.0,22-107438,1,2022_August,Services,0.5,1.0,200067676,1
416389,0.0,0,0,0,0,0.0,50.0,11.010398644018933,41,28,open,45313100,0,44.0,22-107445,1,2022_September,Works,0.0,2.0,393448881,0
