,SME_offers,SME,Social_clause,G_clause,G_criterion,G_weight,Price_weight,Award_price,Legal_status,Departement,Procedure_type,CPV,Framework,Advertising,Id_contract,Allotment,Month,Contract_type,SME_ratio,Other_offers,SIREN,Participation
155205,0.0,0,0,0,0,0.0,60.0,14.620869729131147,72,59,open,45330000,0,64.0,22-157443,1,2022_November,Works,0.0,1.0,215905993,0
456155,0.0,0,1,0,0,0.0,100.0,18.31409725854958,73,75,negotiated,60112000,0,27.0,22-157582,0,2022_December,Services,0.0,3.0,287500078,0
283973,6.0,1,0,0,0,0.0,30.0,12.146735135654666,73,93,open,79950000,0,29.0,22-1576,0,2022_February,Services,0.8571428571428571,1.0,130006364,1
150911,0.0,0,0,0,0,0.0,40.0,12.451932223128116,55,59,open,71631300,1,35.0,22-157772,1,2022_November,Services,0.0,8.0,075851014,0
150912,0.0,0,0,0,0,0.0,40.0,12.2855675108578,55,59,open,71631300,1,35.0,22-157772,1,2022_November,Services,0.0,10.0,075851014,0
150913,0.0,0,0,0,0,0.0,40.0,11.667858695667526,55,59,open,71631300,1,35.0,22-157772,1,2022_November,Services,0.0,10.0,075851014,0
150914,0.0,0,0,0,0,0.0,40.0,9.862665558015873,55,59,open,71631300,1,35.0,22-157772,1,2022_November,Services,0.0,9.0,075851014,0
89949,0.0,0,0,0,0,0.0,40.0,16.602883946408877,57,75,open,72500000,0,43.0,22-157857,0,2022_November,Services,0.0,3.0,409891348,0
219899,2.0,0,0,1,1,20.0,50.0,13.592367006650065,72,92,open,09134000,1,32.0,22-15796,1,2022_February,Supplies,0.6666666666666666,1.0,219200490,1
453784,2.0,1,0,1,1,20.0,80.0,9.463430999658344,92,77,open,35112100,1,47.0,22-158012,1,2022_December,Supplies,0.6666666666666666,1.0,793113747,1
453797,1.0,1,0,1,1,20.0,80.0,10.158432050799934,92,77,open,35112100,1,47.0,22-158012,1,2022_December,Supplies,0.5,1.0,793113747,1
453785,1.0,0,0,1,1,20.0,80.0,11.287905153643159,92,77,open,35112100,1,47.0,22-158012,1,2022_December,Supplies,0.5,1.0,793113747,1
453786,2.0,1,0,1,1,20.0,80.0,8.924789360533357,92,77,open,35112100,1,47.0,22-158012,1,2022_December,Supplies,0.6666666666666666,1.0,793113747,1
453787,2.0,1,0,1,1,20.0,80.0,9.139917907679637,92,77,open,35112100,1,47.0,22-158012,1,2022_December,Supplies,0.6666666666666666,1.0,793113747,1
453788,2.0,1,0,1,1,20.0,80.0,9.695848187757884,92,77,open,35112100,1,47.0,22-158012,1,2022_December,Supplies,0.6666666666666666,1.0,793113747,1
453789,2.0,0,0,1,1,20.0,80.0,9.82984101236783,92,77,open,35112100,1,47.0,22-158012,1,2022_December,Supplies,0.6666666666666666,1.0,793113747,1
453790,1.0,1,0,1,1,20.0,80.0,10.535191151023215,92,77,open,35112100,1,47.0,22-158012,1,2022_December,Supplies,0.5,1.0,793113747,1
453792,1.0,1,0,1,1,20.0,80.0,10.535191151023215,92,77,open,35112100,1,47.0,22-158012,1,2022_December,Supplies,0.5,1.0,793113747,1
720392,0.0,0,0,1,1,30.0,50.0,8.270934532595977,73,30,open,15300000,0,82.0,22-158026,1,2022_December,Supplies,0.0,2.0,200008233,0
720384,0.0,0,0,1,1,30.0,50.0,10.609251555204407,73,30,open,15890000,0,82.0,22-158026,1,2022_December,Supplies,0.0,2.0,200008233,0
720385,0.0,0,0,1,1,30.0,50.0,11.108244299498722,73,30,open,15896000,0,82.0,22-158026,1,2022_December,Supplies,0.0,3.0,200008233,0
720386,0.0,0,0,1,1,30.0,50.0,10.647947902286118,73,30,open,15500000,0,82.0,22-158026,1,2022_December,Supplies,0.0,3.0,200008233,0
720387,0.0,0,0,1,1,30.0,50.0,7.987524479848767,73,30,open,03311000,0,82.0,22-158026,1,2022_December,Supplies,0.0,1.0,200008233,0
720388,0.0,0,0,1,1,30.0,50.0,9.900483043515829,73,30,open,15112000,0,82.0,22-158026,1,2022_December,Supplies,0.0,3.0,200008233,0
720389,0.0,0,0,1,1,30.0,50.0,10.473760634945538,73,30,open,15110000,0,82.0,22-158026,1,2022_December,Supplies,0.0,2.0,200008233,0
720390,0.0,0,0,1,1,30.0,50.0,9.86457779103237,73,30,open,15300000,0,82.0,22-158026,1,2022_December,Supplies,0.0,2.0,200008233,0
720391,0.0,0,0,1,1,30.0,50.0,9.068177549794251,73,30,open,39222100,0,82.0,22-158026,1,2022_December,Supplies,0.0,1.0,200008233,0
142381,0.0,0,0,0,0,0.0,40.0,8.287103068443876,72,59,open,66516000,0,31.0,22-1581,1,2022_January,Services,0.0,3.0,215903675,0
142382,0.0,0,0,0,0,0.0,40.0,6.472933448212975,72,59,open,66516000,0,31.0,22-1581,1,2022_January,Services,0.0,2.0,215903675,0
142383,0.0,0,0,0,0,0.0,40.0,7.321188556739478,72,59,open,66513100,0,31.0,22-1581,1,2022_January,Services,0.0,2.0,215903675,0
142384,0.0,0,0,0,0,0.0,40.0,9.257506360743681,72,59,open,66514110,0,31.0,22-1581,1,2022_January,Services,0.0,4.0,215903675,0
142385,0.0,0,0,0,0,0.0,40.0,9.438238999972631,72,59,open,66151000,0,31.0,22-1581,1,2022_January,Services,0.0,2.0,215903675,0
142386,0.0,0,0,0,0,0.0,40.0,10.76457694249046,72,59,open,66512000,0,31.0,22-1581,1,2022_January,Services,0.0,2.0,215903675,0
320275,2.0,1,0,0,0,0.0,70.0,9.750336373041954,71,75,open,90923000,0,34.0,22-158189,1,2022_December,Services,0.6666666666666666,1.0,110002011,1
320276,2.0,1,0,0,0,0.0,70.0,11.420810176062423,71,75,open,90923000,0,34.0,22-158189,1,2022_December,Services,0.6666666666666666,1.0,110002011,1
320277,2.0,1,0,0,0,0.0,70.0,11.301710484521292,71,75,open,90923000,0,34.0,22-158189,1,2022_December,Services,0.4,3.0,110002011,1
853748,0.0,0,0,0,0,0.0,50.0,15.498171831398999,72,02,open,50720000,0,53.0,22-158210,0,2022_December,Services,0.0,1.0,210201604,0
826110,0.0,0,0,0,0,0.0,40.0,11.408385057376279,72,51,open,66512000,0,85.0,22-158232,0,2022_December,Services,0.0,3.0,215102013,0
415546,0.0,1,0,0,0,0.0,45.0,12.732261645918879,72,76,open,66515000,0,53.0,22-158508,1,2022_December,Services,0.0,2.0,217605401,0
415547,0.0,1,0,0,0,0.0,45.0,10.674325600436848,72,76,open,66516000,0,53.0,22-158508,1,2022_December,Services,0.0,4.0,217605401,0
415548,0.0,0,0,0,0,0.0,45.0,11.968734767212755,72,76,open,66514110,0,53.0,22-158508,1,2022_December,Services,0.0,4.0,217605401,0
415550,0.0,1,0,0,0,0.0,40.0,12.303704174372328,72,76,open,66512000,0,53.0,22-158508,1,2022_December,Services,0.0,3.0,217605401,0
415551,0.0,1,0,0,0,0.0,45.0,5.634789603169249,72,76,open,66515000,0,53.0,22-158508,1,2022_December,Services,0.0,2.0,217605401,0
262193,2.0,1,1,1,0,0.0,60.0,15.44866499701569,65,69,restricted,45000000,0,32.0,22-158552,0,2022_December,Works,0.5,2.0,423140144,1
415071,0.0,1,0,0,0,0.0,40.0,13.43657174607425,72,76,open,71300000,1,31.0,22-158583,0,2022_December,Services,0.0,5.0,217605401,0
607997,3.0,1,1,1,0,0.0,40.0,14.330423616774457,72,51,open,45421000,0,33.0,22-158670,1,2022_December,Works,0.75,1.0,200052264,1
607998,1.0,1,1,1,0,0.0,40.0,15.018482861956626,72,51,open,45330000,0,33.0,22-158670,1,2022_December,Works,0.3333333333333333,2.0,200052264,1
978263,1.0,0,0,1,1,5.0,20.0,11.932168552627278,73,86,open,38433000,0,33.0,22-158694,0,2022_December,Supplies,0.5,1.0,198608564,1
916955,0.0,0,0,0,0,0.0,40.0,13.42984807715229,73,85,open,75310000,1,49.0,22-158742,0,2022_December,Services,0.0,5.0,200073260,0
503306,0.0,0,0,0,0,0.0,100.0,14.244106083461293,72,95,negotiated,85312110,0,36.0,22-158803,0,2022_December,Services,0.0,4.0,219505005,0
319011,1.0,0,1,0,0,0.0,100.0,17.15125226914706,84,47,negotiated,90513000,0,95.0,22-15892,0,2022_February,Services,0.5,1.0,407544709,1
376195,1.0,0,0,0,0,0.0,30.0,9.971124705451812,72,62,open,32353000,1,28.0,22-158927,1,2022_December,Supplies,0.5,1.0,226200012,1
376196,1.0,1,0,0,0,0.0,30.0,10.287193640859725,72,62,open,32353000,1,28.0,22-158927,1,2022_December,Supplies,0.5,1.0,226200012,1
376197,2.0,1,0,0,0,0.0,30.0,10.269090968774705,72,62,open,32353000,1,28.0,22-158927,1,2022_December,Supplies,0.6666666666666666,1.0,226200012,1
376198,1.0,1,0,0,0,0.0,30.0,8.329899292995725,72,62,open,32353000,1,28.0,22-158927,1,2022_December,Supplies,0.5,1.0,226200012,1
376201,2.0,0,0,0,0,0.0,30.0,6.890253003845995,72,62,open,32353000,1,28.0,22-158927,1,2022_December,Supplies,0.6666666666666666,1.0,226200012,1
90001,2.0,0,0,0,0,0.0,100.0,12.133501952695338,73,75,open,90511000,1,32.0,22-159212,1,2022_December,Services,0.6666666666666666,1.0,130023385,1
90002,1.0,1,0,0,0,0.0,100.0,13.815510557964274,73,75,open,34928480,1,32.0,22-159212,1,2022_December,Supplies,0.5,1.0,130023385,1
686531,0.0,0,0,0,0,0.0,40.0,14.231396783777852,72,45,open,09323000,0,31.0,22-159235,1,2022_December,Supplies,0.0,3.0,214502346,0
686532,0.0,0,0,0,0,0.0,40.0,16.812559442405643,72,45,open,09120000,0,31.0,22-159235,1,2022_December,Supplies,0.0,2.0,214502346,0
65206,1.0,0,0,0,0,0.0,55.0,13.155952880397884,71,75,open,30197643,1,85.0,22-159322,1,2022_December,Supplies,0.3333333333333333,2.0,110000023,1
65207,1.0,1,0,0,0,0.0,55.0,12.101955800637604,71,75,open,30197643,1,85.0,22-159322,1,2022_December,Supplies,0.5,1.0,110000023,1
542942,1.0,0,0,0,0,0.0,40.0,15.221506315766502,73,34,open,90919200,1,60.0,22-159569,1,2022_December,Services,0.2,4.0,180070039,1
542943,1.0,0,0,0,0,0.0,40.0,13.999946245075696,73,34,open,79710000,1,60.0,22-159569,1,2022_December,Services,0.3333333333333333,2.0,180070039,1
149157,2.0,1,1,1,1,20.0,40.0,11.184421397998193,73,75,open,77310000,1,40.0,22-159601,1,2022_December,Services,0.6666666666666666,1.0,180007015,1
149159,1.0,1,1,1,1,20.0,40.0,12.611537753638338,73,75,open,77310000,1,40.0,22-159601,1,2022_December,Services,0.5,1.0,180007015,1
149160,2.0,1,1,1,1,20.0,40.0,12.542544882151386,73,75,open,77310000,1,40.0,22-159601,1,2022_December,Services,0.5,2.0,180007015,1
149161,1.0,1,1,1,1,20.0,40.0,12.100712129872347,73,75,open,77310000,1,40.0,22-159601,1,2022_December,Services,0.3333333333333333,2.0,180007015,1
149162,2.0,1,1,1,1,20.0,40.0,12.948009990259552,73,75,open,77310000,1,40.0,22-159601,1,2022_December,Services,0.6666666666666666,1.0,180007015,1
149163,3.0,1,1,1,1,20.0,40.0,11.238488619268468,73,75,open,77310000,1,40.0,22-159601,1,2022_December,Services,0.75,1.0,180007015,1
149146,3.0,1,1,1,1,20.0,40.0,11.289781913656018,73,75,open,77310000,1,40.0,22-159601,1,2022_December,Services,0.6,2.0,180007015,1
149147,2.0,1,1,1,1,20.0,40.0,12.206072645530174,73,75,open,77310000,1,40.0,22-159601,1,2022_December,Services,0.5,2.0,180007015,1
149149,1.0,0,1,1,1,20.0,40.0,12.206072645530174,73,75,open,77310000,1,40.0,22-159601,1,2022_December,Services,0.25,3.0,180007015,1
149150,3.0,1,1,1,1,20.0,40.0,13.304684934198283,73,75,open,77310000,1,40.0,22-159601,1,2022_December,Services,0.75,1.0,180007015,1
149151,4.0,1,1,1,1,20.0,40.0,13.304684934198283,73,75,open,77310000,1,40.0,22-159601,1,2022_December,Services,0.8,1.0,180007015,1
149152,3.0,1,1,1,1,20.0,40.0,13.304684934198283,73,75,open,77310000,1,40.0,22-159601,1,2022_December,Services,0.75,1.0,180007015,1
917324,0.0,0,0,0,0,0.0,50.0,14.473948973208218,73,85,open,90513000,1,30.0,22-159702,0,2022_December,Services,0.0,1.0,258502962,0
945600,0.0,0,0,0,0,0.0,100.0,14.635336278272518,73,28,negotiated,85312000,0,54.0,22-15985,0,2022_February,Services,0.0,1.0,200040277,0
1152858,1.0,0,1,1,0,0.0,40.0,12.644327576461329,73,70,open,15894210,0,29.0,22-1599,0,2022_January,Supplies,0.5,1.0,247000706,1
1097976,0.0,0,0,1,0,0.0,40.0,15.033386267459202,73,52,open,30199770,1,50.0,22-159962,0,2022_December,Supplies,0.0,3.0,200068658,0
665906,0.0,0,0,0,0,0.0,40.0,12.206072645530174,73,54,open,55521100,1,35.0,22-1601,0,2022_January,Services,0.0,3.0,265400382,0
251904,2.0,0,0,1,0,0.0,25.0,10.81817700304331,72,69,open,55242000,1,54.0,22-160212,1,2022_December,Services,0.6666666666666666,1.0,216900910,1
251906,1.0,0,0,1,0,0.0,25.0,11.159673228308998,72,69,open,55242000,1,54.0,22-160212,1,2022_December,Services,0.5,1.0,216900910,1
251907,0.0,0,0,1,0,0.0,25.0,9.409191230721348,72,69,open,55242000,1,54.0,22-160212,1,2022_December,Services,0.0,1.0,216900910,0
89991,1.0,1,0,1,0,0.0,60.0,12.611537753638338,73,75,open,73430000,1,29.0,22-160250,0,2022_December,Services,0.5,1.0,130029952,1
194766,0.0,0,0,0,0,0.0,50.0,13.122363377404328,73,13,open,79311210,0,62.0,22-160293,0,2022_December,Services,0.0,1.0,180043036,0
915996,0.0,0,0,1,0,0.0,40.0,14.603967918328545,72,85,open,15300000,0,41.0,22-160471,1,2022_December,Supplies,0.0,1.0,218501914,0
915997,0.0,0,0,1,0,0.0,40.0,14.26019637922572,72,85,open,15300000,0,41.0,22-160471,1,2022_December,Supplies,0.0,1.0,218501914,0
956686,0.0,0,0,0,0,0.0,60.0,13.664687668229691,73,72,open,15894210,1,43.0,22-160486,0,2022_December,Supplies,0.0,1.0,267200558,0
483050,3.0,0,0,1,0,0.0,50.0,10.106428396532818,72,31,open,16160000,0,29.0,22-160584,1,2022_December,Supplies,0.75,1.0,213104516,1
483051,4.0,0,0,1,0,0.0,50.0,9.890908770329268,72,31,open,16160000,0,29.0,22-160584,1,2022_December,Supplies,0.8,1.0,213104516,1
483052,4.0,1,0,1,0,0.0,50.0,10.06475570013225,72,31,open,34100000,0,29.0,22-160584,1,2022_December,Supplies,0.6666666666666666,2.0,213104516,1
1098449,0.0,0,0,0,0,0.0,40.0,12.028738630247258,73,52,open,71000000,0,30.0,22-160589,0,2022_December,Services,0.0,9.0,130007834,0
436946,0.0,0,1,1,1,5.0,40.0,14.326336183730264,72,83,open,32428000,1,62.0,22-160700,0,2022_December,Supplies,0.0,4.0,218300697,0
425251,2.0,0,0,0,0,0.0,40.0,11.800710032169244,73,83,open,15800000,0,48.0,22-160770,1,2022_December,Supplies,0.5,2.0,258301126,1
425255,1.0,0,0,0,0,0.0,40.0,10.727969965926095,73,83,open,15800000,0,48.0,22-160770,1,2022_December,Supplies,0.3333333333333333,2.0,258301126,1
425256,1.0,0,0,0,0,0.0,40.0,11.538632197313634,73,83,open,15800000,0,48.0,22-160770,1,2022_December,Supplies,0.5,1.0,258301126,1
425270,2.0,0,0,0,0,0.0,40.0,12.31961113025631,73,83,open,15800000,0,48.0,22-160770,1,2022_December,Supplies,0.6666666666666666,1.0,258301126,1
425244,1.0,1,0,0,0,0.0,40.0,11.302994245128154,73,83,open,15800000,0,48.0,22-160770,1,2022_December,Supplies,0.2,4.0,258301126,1
425271,2.0,1,0,0,0,0.0,40.0,12.375802761809304,73,83,open,15800000,0,48.0,22-160770,1,2022_December,Supplies,0.6666666666666666,1.0,258301126,1
425272,2.0,0,0,0,0,0.0,40.0,12.184685563648525,73,83,open,15800000,0,48.0,22-160770,1,2022_December,Supplies,0.6666666666666666,1.0,258301126,1
425273,1.0,1,0,0,0,0.0,40.0,11.710168474441184,73,83,open,15800000,0,48.0,22-160770,1,2022_December,Supplies,0.5,1.0,258301126,1
425279,2.0,0,0,0,0,0.0,40.0,11.764827498355213,73,83,open,15800000,0,48.0,22-160770,1,2022_December,Supplies,0.6666666666666666,1.0,258301126,1
425280,2.0,0,0,0,0,0.0,40.0,12.03655279609342,73,83,open,15800000,0,48.0,22-160770,1,2022_December,Supplies,0.6666666666666666,1.0,258301126,1
425245,1.0,0,0,0,0,0.0,40.0,10.915288444217275,73,83,open,15800000,0,48.0,22-160770,1,2022_December,Supplies,0.25,3.0,258301126,1
425281,2.0,0,0,0,0,0.0,40.0,11.5978271180566,73,83,open,15800000,0,48.0,22-160770,1,2022_December,Supplies,0.6666666666666666,1.0,258301126,1
425283,1.0,0,0,0,0,0.0,40.0,11.897398438598971,73,83,open,15800000,0,48.0,22-160770,1,2022_December,Supplies,0.5,1.0,258301126,1
425246,1.0,0,0,0,0,0.0,40.0,12.03997083458316,73,83,open,15800000,0,48.0,22-160770,1,2022_December,Supplies,0.25,3.0,258301126,1
425249,2.0,0,0,0,0,0.0,40.0,11.537003254449258,73,83,open,15800000,0,48.0,22-160770,1,2022_December,Supplies,0.5,2.0,258301126,1
425250,2.0,0,0,0,0,0.0,40.0,10.99800814830098,73,83,open,15800000,0,48.0,22-160770,1,2022_December,Supplies,0.5,2.0,258301126,1
900294,0.0,0,0,1,0,0.0,35.0,7.080026499922591,71,21,open,50700000,0,30.0,22-160780,1,2022_December,Services,0.0,1.0,172101115,0
900296,0.0,0,0,1,0,0.0,35.0,6.396929655216146,71,21,open,50700000,0,30.0,22-160780,1,2022_December,Services,0.0,1.0,172101115,0
218392,2.0,1,1,1,1,5.0,40.0,13.00056403718357,72,92,open,60100000,1,30.0,22-160863,0,2022_December,Services,0.5,2.0,229200506,1
431766,1.0,1,0,0,0,0.0,60.0,11.469934453165134,73,83,open,50710000,1,30.0,22-160879,1,2022_December,Services,0.3333333333333333,2.0,188300016,1
431767,1.0,1,0,0,0,0.0,60.0,10.73299960761659,73,83,open,50710000,1,30.0,22-160879,1,2022_December,Services,0.3333333333333333,2.0,188300016,1
431768,1.0,1,0,0,0,0.0,60.0,10.758668544943307,73,83,open,50710000,1,30.0,22-160879,1,2022_December,Services,0.3333333333333333,2.0,188300016,1
151004,3.0,0,0,1,1,5.0,40.0,12.206072645530174,73,59,open,90921000,0,33.0,22-161009,1,2022_December,Services,0.42857142857142855,4.0,185911500,1
151005,2.0,1,0,1,1,5.0,40.0,12.206072645530174,73,59,open,90921000,0,33.0,22-161009,1,2022_December,Services,0.3333333333333333,4.0,185911500,1
75615,0.0,0,1,1,1,10.0,30.0,12.287523591939154,73,75,open,30199770,1,30.0,22-161083,1,2022_December,Supplies,0.0,2.0,180036048,0
75616,0.0,0,1,1,1,10.0,30.0,11.082296383198514,73,75,open,30199770,1,30.0,22-161083,1,2022_December,Supplies,0.0,2.0,180036048,0
607999,1.0,1,0,0,0,0.0,30.0,13.805460222110773,73,67,open,03325000,1,29.0,22-161085,0,2022_December,Supplies,0.3333333333333333,2.0,130005457,1
1034648,0.0,0,0,0,0,0.0,60.0,15.60727002719233,41,10,open,50531100,0,65.0,22-161264,1,2022_December,Services,0.0,2.0,341498061,0
962824,0.0,0,0,0,0,0.0,60.0,10.173781066481496,73,72,open,66513200,0,28.0,22-161313,1,2022_December,Services,0.0,2.0,247200686,0
962825,0.0,0,0,0,0,0.0,60.0,12.26570562288855,73,72,open,66515000,0,28.0,22-161313,1,2022_December,Services,0.0,2.0,247200686,0
284087,0.0,0,0,0,0,0.0,40.0,15.424948470398375,73,93,open,72500000,1,30.0,22-1615,1,2022_April,Services,0.0,1.0,130006364,0
320972,0.0,0,0,0,0,0.0,20.0,12.611537753638338,73,33,open,42000000,0,32.0,22-161669,0,2022_December,Supplies,0.0,1.0,130018351,0
1029754,0.0,0,0,0,0,0.0,40.0,13.762812066222889,72,88,open,90481000,0,32.0,22-161700,0,2022_December,Services,0.0,2.0,218803674,0
416076,1.0,1,0,0,0,0.0,100.0,16.11593271349465,73,76,open,09123000,0,35.0,22-161775,0,2022_December,Supplies,0.5,1.0,130024425,1
1122324,1.0,0,0,0,0,0.0,80.0,12.858397831569864,73,05,open,44113900,1,48.0,22-161807,1,2022_December,Supplies,0.5,1.0,200045789,1
273070,1.0,1,0,0,0,0.0,50.0,12.329174842664157,41,93,open,18930000,1,55.0,22-161903,1,2022_December,Supplies,0.5,1.0,775663438,1
190441,2.0,0,0,0,0,0.0,60.0,11.997331135151,73,13,open,71335000,0,32.0,22-162014,0,2022_December,Services,0.5,2.0,200054807,1
78438,1.0,0,0,0,0,0.0,55.0,14.22097566607244,73,75,open,45430000,1,38.0,22-162139,0,2022_December,Works,0.5,1.0,267500007,1
732192,0.0,0,0,0,0,0.0,60.0,12.577636201962656,72,42,open,65210000,0,31.0,22-162152,0,2022_December,Services,0.0,2.0,214201238,0
487168,0.0,0,0,0,0,0.0,40.0,12.948009990259552,73,32,open,66133000,0,33.0,22-162159,1,2022_December,Services,0.0,2.0,200023620,0
487167,0.0,0,0,0,0,0.0,40.0,10.146433731146518,73,32,open,66133000,0,33.0,22-162159,1,2022_December,Services,0.0,4.0,200023620,0
915472,0.0,0,0,1,0,0.0,35.0,11.002099841204238,73,85,open,33692300,1,33.0,22-1623,1,2022_January,Supplies,0.0,2.0,268500758,0
915474,0.0,0,0,1,0,0.0,35.0,12.245293358683455,73,85,open,33141100,1,33.0,22-1623,1,2022_January,Supplies,0.0,2.0,268500758,0
915475,0.0,0,0,1,0,0.0,35.0,11.695247021764184,73,85,open,50420000,1,33.0,22-1623,1,2022_January,Services,0.0,1.0,268500758,0
915480,0.0,0,0,1,0,0.0,35.0,9.903487552536127,73,85,open,19231000,1,33.0,22-1623,1,2022_January,Supplies,0.0,2.0,268500758,0
32206,0.0,0,1,1,0,0.0,50.0,17.72753356339242,71,75,open,64212000,1,36.0,22-162340,0,2022_December,Services,0.0,2.0,130022205,0
1149715,1.0,1,0,0,0,0.0,70.0,11.904778345658531,41,43,open,90911000,0,36.0,22-162351,1,2022_December,Services,0.5,1.0,390289940,1
1149716,2.0,1,0,0,0,0.0,70.0,12.21416481542751,41,43,open,90911000,0,36.0,22-162351,1,2022_December,Services,0.6666666666666666,1.0,390289940,1
1149717,2.0,0,0,0,0,0.0,70.0,11.14290471779526,41,43,open,90911000,0,36.0,22-162351,1,2022_December,Services,0.6666666666666666,1.0,390289940,1
1149718,2.0,0,0,0,0,0.0,70.0,9.469931564261438,41,43,open,90911000,0,36.0,22-162351,1,2022_December,Services,0.6666666666666666,1.0,390289940,1
698177,1.0,1,0,1,1,40.0,20.0,15.068273526459642,72,29,open,45233140,1,63.0,22-162370,0,2022_December,Works,0.2,4.0,222900011,1
196820,0.0,0,0,0,0,0.0,50.0,13.122363377404328,73,13,open,50312000,0,32.0,22-162406,1,2022_December,Services,0.0,2.0,130015332,0
196821,0.0,0,0,0,0,0.0,50.0,17.034386382832476,73,13,open,50312000,0,32.0,22-162406,1,2022_December,Services,0.0,1.0,130015332,0
1098818,0.0,0,0,0,0,0.0,50.0,12.959844447906553,73,52,open,50313200,0,59.0,22-162610,0,2022_December,Services,0.0,4.0,200044170,0
1041229,0.0,0,0,0,0,0.0,40.0,14.22097566607244,72,16,open,44113810,1,31.0,22-162840,1,2022_December,Supplies,0.0,4.0,221600018,0
1041230,0.0,0,0,0,0,0.0,40.0,13.764217263576723,72,16,open,44113810,1,31.0,22-162840,1,2022_December,Supplies,0.0,3.0,221600018,0
1041014,0.0,0,0,0,0,0.0,50.0,13.304684934198283,72,16,open,34928100,1,32.0,22-162842,0,2022_December,Supplies,0.0,3.0,221600018,0
149191,0.0,0,1,0,0,0.0,40.0,12.0196135408782,72,59,open,90911200,0,55.0,22-163083,1,2022_December,Services,0.0,3.0,215901521,0
609683,2.0,1,1,1,0,0.0,60.0,11.818432696109397,73,75,open,90919200,0,34.0,22-16309,1,2022_February,Services,0.6666666666666666,1.0,180092264,1
609684,2.0,1,1,1,0,0.0,60.0,10.259468255545384,73,75,open,90919200,0,34.0,22-16309,1,2022_February,Services,0.6666666666666666,1.0,180092264,1
609685,2.0,1,1,1,0,0.0,60.0,10.488156027600127,73,75,open,90919200,0,34.0,22-16309,1,2022_February,Services,0.6666666666666666,1.0,180092264,1
609687,2.0,1,1,1,0,0.0,60.0,10.775974557273669,73,75,open,90919200,0,34.0,22-16309,1,2022_February,Services,0.6666666666666666,1.0,180092264,1
118438,3.0,0,1,0,0,0.0,80.0,10.855145428247575,72,59,open,45110000,0,60.0,22-163164,1,2022_December,Works,0.6,2.0,215901521,1
118439,0.0,0,1,0,0,0.0,60.0,15.418275137158597,72,59,open,45223220,0,60.0,22-163164,1,2022_December,Works,0.0,2.0,215901521,0
118440,0.0,0,1,0,0,0.0,70.0,12.430457905604875,72,59,open,45311200,0,60.0,22-163164,1,2022_December,Works,0.0,3.0,215901521,0
118441,5.0,0,1,0,0,0.0,70.0,13.11211156671068,72,59,open,45331000,0,60.0,22-163164,1,2022_December,Works,0.7142857142857143,2.0,215901521,1
118444,0.0,0,1,0,0,0.0,70.0,12.442608123359783,72,59,open,45112700,0,60.0,22-163164,1,2022_December,Works,0.0,2.0,215901521,0
740382,1.0,0,0,1,1,5.0,40.0,13.815510557964274,73,80,open,66510000,0,61.0,22-163500,1,2022_December,Services,0.2,4.0,130001316,1
803753,0.0,0,0,0,0,0.0,40.0,12.210313639787428,73,73,open,71336000,0,63.0,22-163525,0,2022_December,Services,0.0,2.0,200023364,0
195558,2.0,0,0,0,0,0.0,60.0,12.099617086086244,73,13,open,71335000,1,32.0,22-163768,1,2022_December,Services,0.6666666666666666,1.0,200054807,1
195559,2.0,1,0,0,0,0.0,60.0,11.752572088383452,73,13,open,71335000,1,32.0,22-163768,1,2022_December,Services,0.6666666666666666,1.0,200054807,1
711329,1.0,0,0,0,0,0.0,40.0,13.592367006650065,72,74,open,72400000,1,41.0,22-163982,0,2022_December,Services,0.25,3.0,200063402,1
262310,1.0,1,0,0,0,0.0,40.0,10.361545110763464,72,74,open,72417000,1,33.0,22-163986,0,2022_December,Services,0.2,4.0,227400017,1
992807,1.0,0,0,1,1,5.0,50.0,13.592367006650065,72,71,open,34992200,1,31.0,22-164121,1,2022_December,Supplies,0.25,3.0,217100767,1
992808,1.0,0,0,1,1,5.0,50.0,11.982929094215963,72,71,open,34992200,1,31.0,22-164121,1,2022_December,Supplies,0.25,3.0,217100767,1
846490,3.0,0,1,1,0,0.0,100.0,10.736396675471232,71,68,open,39830000,0,54.0,22-16416,0,2022_February,Supplies,0.75,1.0,176704609,1
556299,1.0,0,0,0,0,0.0,30.0,12.375080973262003,72,44,open,71336000,0,29.0,22-164176,0,2022_December,Services,0.5,1.0,224400028,1
796213,0.0,0,0,0,0,0.0,40.0,10.973288759350119,72,56,open,66515200,0,69.0,22-164190,1,2022_December,Services,0.0,2.0,215601691,0
796214,0.0,0,0,0,0,0.0,40.0,9.788749875065704,72,56,open,66516000,0,69.0,22-164190,1,2022_December,Services,0.0,2.0,215601691,0
796215,0.0,0,0,0,0,0.0,40.0,10.675815530970514,72,56,open,66514110,0,69.0,22-164190,1,2022_December,Services,0.0,2.0,215601691,0
796216,0.0,0,0,0,0,0.0,40.0,9.406236048797256,72,56,open,66513100,0,69.0,22-164190,1,2022_December,Services,0.0,1.0,215601691,0
796217,0.0,0,0,0,0,0.0,40.0,7.076653815443951,72,56,open,66514150,0,69.0,22-164190,1,2022_December,Services,0.0,2.0,215601691,0
794591,0.0,0,0,0,0,0.0,50.0,14.462272841379459,72,56,open,15894210,1,70.0,22-164207,1,2022_December,Supplies,0.0,3.0,215601691,0
